chi3_zero_height,zero_index,ordinate,theoretical_real,theoretical_imag,estimated_real,estimated_imag,amplitude_ratio,phase_error
30.0,1,8.039737155681468,-0.00011814901449348997,-0.00016826959131127409,-3.802450898559096e-05,-0.0002604412491122329,1.2801297269559109,0.4671855572321397
30.0,2,11.24920620777294,-4.418553088758311e-05,-3.701363840472283e-05,-0.00012648645854205077,-7.683228376839405e-05,2.567545154388128,-0.1514336932554623
30.0,3,15.704619176721625,-1.3804651924944902e-05,-7.616909173863834e-06,-2.488546213270385e-05,4.789388749841876e-05,3.4232640909758945,-1.5957917425045152
30.0,4,18.26199749569313,-7.905284910413012e-06,-3.6709380908824086e-06,-5.4912830805629945e-05,1.6994228769650315e-05,6.595011446706327,-0.7348634521568533
30.0,5,20.455770807742496,-5.155685931097551e-06,-2.1114860444581387e-06,1.1717744789932237e-05,-4.7225707315427226e-05,8.733624855331746,1.4252990819942215
30.0,6,24.059414856493447,-2.7720401396302267e-06,-9.527201240870293e-07,1.0275438191767015e-05,4.308238957655134e-05,15.110178165468955,-2.1359705087451624
30.0,7,26.57786873577458,-1.8865747404035626e-06,-5.834018074837591e-07,-2.620395519159491e-05,3.3174140794589106e-05,21.40806217418254,-1.202160790176617
30.0,8,28.218164506233386,-1.4949069657908186e-06,-4.3406615245117584e-07,1.6526729575431075e-05,4.8740765231304664e-05,33.06230315878777,-2.180297140641519
50.0,1,8.039737155681468,-0.00011814901449348997,-0.00016826959131127409,-4.4906479595456624e-05,-0.00026705401267605776,1.3170980524637232,0.4455650940019069
50.0,2,11.24920620777294,-4.418553088758311e-05,-3.701363840472283e-05,-0.00012835432181344865,-7.284422797064561e-05,2.5604482548764977,-0.18110394368780144
50.0,3,15.704619176721625,-1.3804651924944902e-05,-7.616909173863834e-06,-1.984517623140309e-05,4.951040106376844e-05,3.3830740666763544,-1.6937724683830997
50.0,4,18.26199749569313,-7.905284910413012e-06,-3.6709380908824086e-06,-5.186108727096102e-05,2.7351401619522787e-05,6.726870723498279,-0.9200600116782349
50.0,5,20.455770807742496,-5.155685931097551e-06,-2.1114860444581387e-06,-3.207408757131321e-07,-5.298877742414042e-05,9.51118658760559,1.176035649034402
50.0,6,24.059414856493447,-2.7720401396302267e-06,-9.527201240870293e-07,2.2646825955735402e-05,4.277608739416106e-05,16.51245405691553,-2.388749304891143
50.0,7,26.57786873577458,-1.8865747404035626e-06,-5.834018074837591e-07,-9.369060738298849e-06,4.693799576097278e-05,24.238323201664436,-1.6736914732006858
50.0,8,28.218164506233386,-1.4949069657908186e-06,-4.3406615245117584e-07,4.0104048992462425e-05,4.252881029247848e-05,37.55204646488804,-2.609451643961986
50.0,9,30.7450402613825,-1.0698166137522145e-06,-2.8401928662212683e-07,6.479728345472256e-06,3.579138604681975e-05,32.86113906597769,-2.009395952119649
50.0,10,33.89738892725941,-7.29841332766828e-07,-1.7511066047981618e-07,6.592852439994951e-05,1.4882202603476823e-05,90.04988920970736,3.1281255034231044
50.0,11,35.60841265393864,-6.014470736267157e-07,-1.3715677351876918e-07,1.852781218229417e-05,-4.243570499624679e-05,75.06079892536931,1.758248231231556
50.0,12,37.55179655636462,-4.879322506618134e-07,-1.0535184293227375e-07,-2.600332137077567e-05,1.669268173053274e-05,61.90225858546513,-0.7833417134634335
50.0,13,39.48520726092934,-4.00313637820177e-07,-8.20953812856334e-08,2.5037320161879265e-05,-9.211344430332829e-06,65.28409005635626,2.586783984394449
50.0,14,42.61637922615756,-2.9615139749792265e-07,-5.6174625292217415e-08,-3.601334093075769e-05,-3.339950436097248e-05,162.9458183122916,0.5603044404250372
50.0,15,44.120572912072205,-2.581896263263606e-07,-4.727116143332167e-08,-3.5723920769534705e-05,-2.329966104264242e-05,162.4899934476765,0.3968490186908964
50.0,16,46.274118023513154,-2.1380377180041476e-07,-3.728989008996788e-08,4.5146838838598725e-05,1.5189472629847638e-06,208.13763770617314,3.0025497261045575
50.0,17,47.51410451011732,-1.9254091863034678e-07,-3.269010866176166e-08,1.9582404094997316e-07,5.013107287967046e-05,256.69432998292143,-1.7428814586239547
