chi3_zero_height,chi3_zero_count,zeta_zero_height,zeta_zero_count,split,model,rmse,mae,max_absolute_error
30.0,8,50.0,10,discovery,M0_pole,0.0010912718153024876,0.0007839422013255678,0.0026026127901932414
30.0,8,50.0,10,discovery,M1_pole_lzeros,0.0010469603677896592,0.0007253717361582862,0.002886809545914984
30.0,8,50.0,10,discovery,M2_pole_lzeros_cross,0.0010467876719358776,0.000725354609976025,0.0028745686527076875
30.0,8,50.0,10,validation,M0_pole,0.0003002152954550861,0.0002664022193869314,0.0005626364098894874
30.0,8,50.0,10,validation,M1_pole_lzeros,2.3734374337464926e-05,1.9789452944790696e-05,5.327537029993024e-05
30.0,8,50.0,10,validation,M2_pole_lzeros_cross,2.3563269531576543e-05,1.973908848827211e-05,5.250290603171087e-05
50.0,17,50.0,10,discovery,M0_pole,0.0010912718153024876,0.0007839422013255678,0.0026026127901932414
50.0,17,50.0,10,discovery,M1_pole_lzeros,0.0010469840650503917,0.0007254151668726292,0.0028868694981395333
50.0,17,50.0,10,discovery,M2_pole_lzeros_cross,0.0010467942219672156,0.0007253867969450562,0.0028760927059276326
50.0,17,50.0,10,validation,M0_pole,0.0003002152954550861,0.0002664022193869314,0.0005626364098894874
50.0,17,50.0,10,validation,M1_pole_lzeros,2.3471746377268302e-05,1.9766491269690723e-05,5.2288944852717494e-05
50.0,17,50.0,10,validation,M2_pole_lzeros_cross,2.332190063350813e-05,1.9711958772540955e-05,5.1200745518541375e-05
